,Price,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Pool,New,District,Type
139,1850,92,3,2,1,1,1,1,0,0,23,0
140,780,50,2,2,1,1,1,0,0,0,23,0
141,900,48,2,2,1,1,0,0,0,0,23,0
142,1000,55,2,2,1,1,1,0,1,0,23,0
143,1000,62,3,2,1,1,1,0,1,0,23,0
144,1100,62,3,2,1,1,1,0,1,0,23,0
145,1500,55,2,2,1,1,1,0,1,0,23,0
146,550,48,2,2,1,1,0,0,0,0,24,0
147,600,46,2,2,1,1,0,0,0,0,24,0
148,700,48,2,2,1,1,0,0,0,0,24,0
149,6000,152,2,2,1,1,1,1,0,0,24,0
150,800,46,2,2,1,1,0,0,0,0,24,0
151,2000,74,3,2,1,1,1,0,1,0,24,0
152,1200,70,2,2,1,1,0,0,1,0,24,0
153,3000,60,1,2,1,2,0,0,1,0,24,0
154,750,45,2,2,1,1,0,0,0,0,24,0
155,850,54,2,2,1,1,0,0,0,0,24,0
156,750,48,2,2,1,1,0,0,0,0,24,0
157,600,49,2,2,1,1,0,0,0,0,24,0
158,700,48,2,2,1,1,0,0,0,0,24,0
159,750,50,2,2,1,1,0,0,0,0,24,0
160,750,48,2,2,1,1,0,0,0,0,24,0
161,700,45,2,2,1,1,0,0,0,0,24,0
162,1100,50,2,2,1,1,0,0,0,0,24,0
163,1300,50,2,2,1,1,0,0,0,0,24,0
164,950,60,2,2,1,1,0,0,0,0,24,0
165,1300,50,2,2,1,1,0,0,0,0,24,0
166,950,50,2,2,1,1,0,0,0,0,24,0
167,900,48,2,2,1,1,0,1,0,0,24,0
168,18000,245,4,5,2,4,1,0,1,0,24,0
169,16000,230,4,3,2,4,1,0,1,0,24,0
170,870,50,2,2,1,1,0,0,0,0,24,0
171,650,60,2,2,1,1,1,0,0,0,24,0
172,720,40,2,2,1,1,0,1,0,0,24,0
173,700,48,2,2,1,1,0,0,0,0,24,0
174,700,46,2,2,1,1,0,0,0,0,24,0
175,628,52,2,2,1,1,0,0,0,0,24,0
176,700,38,2,2,1,1,1,0,0,0,24,0
177,850,40,2,2,1,1,0,0,0,0,27,0
178,1300,48,2,2,1,1,1,1,0,0,27,0
179,900,50,2,2,1,1,1,0,1,0,27,0
180,1200,52,2,2,1,1,1,0,0,0,27,0
181,1350,50,2,2,1,1,1,0,1,0,27,0
182,800,55,2,2,1,1,1,0,1,0,27,0
183,920,52,2,2,1,1,1,0,1,0,27,0
184,1300,48,2,2,1,1,0,0,0,0,27,0
185,1000,50,2,2,1,1,0,0,0,0,27,0
186,1100,64,2,2,1,1,0,0,0,0,27,0
187,1200,48,2,2,1,1,0,0,0,0,27,0
188,2000,48,2,2,1,1,0,1,0,0,27,0
189,900,65,2,2,1,1,0,0,0,0,27,0
190,1500,62,3,2,1,1,0,0,0,0,27,0
191,1000,55,2,2,1,1,0,0,0,0,27,0
192,1200,50,2,2,1,1,1,0,1,0,27,0
193,1500,53,2,2,1,1,0,0,0,0,27,0
194,1240,53,2,2,1,1,0,0,0,0,27,0
195,1300,44,2,2,1,1,0,0,0,0,27,0
196,1350,50,2,2,1,1,1,0,1,0,27,0
197,1600,70,2,2,1,1,1,0,1,0,27,0
198,855,50,2,2,1,1,1,1,0,0,27,0
199,1300,50,2,2,1,1,1,1,1,0,27,0
200,1600,52,2,2,1,1,1,0,0,0,27,0
201,999,70,2,2,1,1,0,0,0,0,27,0
